Item Name,Category,Description,Price,Veg Classifier,Portion Size,Rating,Addons
Crispy Veg Burger+Fries(M),Burger+Fries (Save upto 15%),,160.0,VEG,N/A,4.4,
Crispy Veg Double Patty Burger+Fries(M),Burger+Fries (Save upto 15%),,189.0,VEG,N/A,3.3,
Crispy Chicken Double Patty Burger+Fries(M),Burger+Fries (Save upto 15%),,229.0,NONVEG,N/A,3.2,
Premium Family Feast for 4 - Chicken,Family Feast for 4 ( Save upto 37%),Save Rs. 200 | Chicken Whopper + Fiery Chicken + Crispy Chicken + Chicken Crunchy Taco + 2 Med Fries + 1 Dip + Peri Peri Sachet + Medium Soft Drink (Cola) + Chocolate Thick Shake,982.0,NONVEG,N/A,N/A,
Classic Family Feast for 4 - Veg,Family Feast for 4 ( Save upto 37%),Save Rs. 200 | 2 Crispy Veg + BK Veggie + Veg Crunchy Taco + 2 Med Fries + 2 Dips + Medium Soft Drink (Cola) + Chocolate Thick Shake,731.0,VEG,N/A,3.5,
Veg Whopper,Whopper,"Our signature Whopper with 7 layers between the buns. Extra crunchy veg patty, fresh onions, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with new premium buns. Swaad Aisa, India Jaisa.",179.0,VEG,N/A,4.4,Double Cheese Slice (50.0); Single Cheese Slice (25.0); King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Chicken Whopper,Whopper,"Our signature Whopper with 7 layers between the buns. Flame-Grilled chicken patty, fresh onions, crispy lettuce, juicy tomatoes (seasonal), tangy gherkins, creamy and smoky sauces with new premium glazed buns. Swaad Aisa, India Jaisa.",199.0,NONVEG,N/A,4.2,Double Cheese Slice (50.0); Single Cheese Slice (25.0); King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Crispy Veg Burger,Burgers & Wraps,"Our Best-Selling Burger With Crispy Veg Patty, Fresh Onion And Our Signature Sauce",70.0,VEG,N/A,4.2,Double Cheese Slice (50.0); Single Cheese Slice (25.0); King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Crispy Veg Double Patty Burger,Burgers & Wraps,"Our Best-Selling Burger With Crispy Veg Double Patty, Fresh Onion And Our Signature Sauce",99.0,VEG,N/A,4.0,Double Cheese Slice (50.0); Single Cheese Slice (25.0); King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
Crispy Chicken Burger,Burgers & Wraps,"Our Best-Selling Burger With Crispy Chicken Patty, Onion And Classic Mayo Sauce",99.0,NONVEG,N/A,4.2,Double Cheese Slice (50.0); Single Cheese Slice (25.0); King Fries + Medium Pepsi (23% off) (159.0); Medium Fries + Medium Pepsi Black (23% OFF) (149.0); Medium Fries + Medium Fountain Pepsi(23% Off) (149.0); Medium Fries + Chocolate Thick Shake (34% off) (195.0); Med Fries + Med Pepsi + Choco Lava (25% Off) (219.0); Regular Fries + Medium Soft Drink (Cola) (28% OFF) (119.0); King Fries (130.0); King Peri Peri Fries (159.0); Medium Fries (115.0); Medium Peri Peri Fries (144.0); Boneless Wings (4 Pcs) (159.0); Chocolate Thick Shake (189.0); Berry Blast Thick Shake (189.0); Medium Pepsi (95.0); Medium Pepsi Black (95.0); Mango Thick Shake (189.0); Choco Lava Cake (109.0); Chocolate Mousse Cup (109.0); Fiery Hell Dip (23.81)
